
0it [00:00, ?it/s]
1it [00:00,  2.20it/s]
3it [00:00,  2.81it/s]
4it [00:01,  2.93it/s]
5it [00:01,  3.42it/s]
7it [00:01,  4.37it/s]
8it [00:01,  5.22it/s]
9it [00:01,  6.00it/s]
10it [00:01,  6.51it/s]
11it [00:01,  6.88it/s]
12it [00:01,  6.83it/s]
13it [00:02,  6.75it/s]
14it [00:02,  6.60it/s]
15it [00:02,  6.45it/s]
16it [00:02,  6.28it/s]
17it [00:02,  6.09it/s]
19it [00:02,  7.09it/s]
21it [00:03,  7.96it/s]
22it [00:03,  8.48it/s]
23it [00:03,  8.80it/s]
24it [00:03,  8.79it/s]
25it [00:03,  8.25it/s]
26it [00:03,  7.31it/s]
27it [00:03,  6.71it/s]
29it [00:04,  7.43it/s]
30it [00:04,  6.88it/s]
31it [00:04,  6.50it/s]
33it [00:04,  7.35it/s]
34it [00:04,  7.85it/s]
35it [00:04,  7.87it/s]
36it [00:05,  7.13it/s]
38it [00:05,  7.51it/s]
39it [00:05,  7.45it/s]
40it [00:05,  7.04it/s]
41it [00:05,  6.80it/s]
42it [00:05,  6.57it/s]
43it [00:06,  6.72it/s]
44it [00:06,  6.38it/s]
45it [00:06,  5.41it/s]
46it [00:06,  5.97it/s]
47it [00:06,  6.20it/s]
49it [00:06,  7.10it/s]
51it [00:07,  7.87it/s]
52it [00:07,  4.93it/s]
53it [00:07,  5.14it/s]
54it [00:07,  5.82it/s]
55it [00:07,  6.40it/s]
56it [00:08,  6.51it/s]
57it [00:08,  6.98it/s]
58it [00:08,  7.28it/s]
59it [00:08,  6.81it/s]
61it [00:08,  7.79it/s]
62it [00:08,  7.35it/s]
63it [00:08,  6.90it/s]
64it [00:09,  6.67it/s]
65it [00:09,  6.52it/s]
66it [00:09,  6.25it/s]
67it [00:09,  6.86it/s]
68it [00:09,  6.75it/s]
69it [00:09,  6.61it/s]
70it [00:10,  6.40it/s]
72it [00:10,  6.72it/s]
74it [00:10,  7.84it/s]
75it [00:10,  6.89it/s]
76it [00:10,  7.57it/s]
77it [00:10,  7.90it/s]
78it [00:11,  6.74it/s]
79it [00:11,  7.43it/s]
81it [00:11,  7.57it/s]
82it [00:11,  7.12it/s]
83it [00:11,  6.75it/s]
85it [00:11,  7.62it/s]
86it [00:12,  7.98it/s]
87it [00:12,  7.65it/s]
89it [00:12,  8.66it/s]
91it [00:12,  9.05it/s]
92it [00:12,  9.16it/s]
93it [00:12,  9.19it/s]
94it [00:12,  8.99it/s]
95it [00:13,  7.67it/s]
96it [00:13,  8.15it/s]
97it [00:13,  7.16it/s]
99it [00:13,  7.99it/s]
100it [00:13,  8.09it/s]
101it [00:13,  7.31it/s]
102it [00:14,  6.20it/s]
103it [00:14,  6.34it/s]
105it [00:14,  6.04it/s]
106it [00:14,  6.40it/s]
107it [00:14,  6.66it/s]
108it [00:14,  6.82it/s]
109it [00:15,  6.94it/s]
110it [00:15,  7.02it/s]
111it [00:15,  7.07it/s]
112it [00:15,  6.97it/s]
113it [00:15,  6.91it/s]
114it [00:15,  6.83it/s]
115it [00:15,  6.77it/s]
116it [00:16,  6.72it/s]
117it [00:16,  6.69it/s]
